City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
294,San Quintin,MX,81.36,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
295,Sinnamary,GF,80.17,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
299,Atambua,ID,79.43,few clouds,-9.1061,124.8925,Kost Alfa Flat
302,Fare,PF,78.69,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
304,Batticaloa,LK,79.27,scattered clouds,7.7102,81.6924,Grand Star Guest House
305,Isangel,VU,77.13,overcast clouds,-19.55,169.2667,Tanna Lodge
306,Forest,US,76.91,clear sky,37.3638,-79.2897,Days inn
307,Cravo Norte,CO,80.11,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
309,Lorengau,PG,84.15,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
310,Pacific Grove,US,89.38,few clouds,36.6177,-121.9166,Lovers Point Inn
313,Cabo San Lucas,MX,83.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
314,Luwuk,ID,82.22,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
327,Umm Lajj,SA,84.11,broken clouds,25.0213,37.2685,Moon light Furnished Units
328,Tiarei,PF,82.42,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
335,Male,MV,78.75,broken clouds,4.1748,73.5089,Hotel Octave Maldives
337,Puerto Narino,CO,77.85,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
340,Tucurui,BR,77.74,few clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
341,Kieta,PG,83.82,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
342,Boyolangu,ID,76.26,broken clouds,-8.1181,111.8935,Yos ega cv
348,Ocos,GT,75.38,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
349,Casper,US,88.39,clear sky,42.8666,-106.3131,Ramkota Hotel
350,Hamilton,US,82.26,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
351,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
356,Mandan,US,77.36,clear sky,46.8267,-100.8896,Twin City Estates
357,Muroto,JP,81.57,overcast clouds,33.2833,134.15,Oota Ryokan
360,Ofaqim,IL,75.7,few clouds,31.3141,34.6203,The Negev Experience
361,Awjilah,LY,79.3,clear sky,29.1081,21.2869,المنزل
364,Aiken,US,78.71,clear sky,33.5835,-81.5998,Aiken Cottages
366,Bardiyah,LY,77.29,clear sky,31.7561,25.0865,بورتو بردية
367,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
368,Rapid City,US,87.26,clear sky,44.0805,-103.231,"Hotel Alex Johnson Rapid City, Curio Collection by Hilton"
373,Rock Hill,US,83.07,clear sky,34.9249,-81.0251,DDCSVC
375,Voh,NC,78.01,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
376,Dingle,PH,81.54,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
381,Derbent,RU,79.41,clear sky,42.0678,48.2899,Elit
384,Rudsar,IR,75.18,clear sky,37.1376,50.288,Hotel Bahar
389,Virginia Beach,US,81.01,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
392,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
393,Guerrero Negro,MX,83.97,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
395,Ometepec,MX,75.58,overcast clouds,16.6833,-98.4167,MH Grand Hotel - Ometepec
400,Angicos,BR,76.06,few clouds,-5.6656,-36.6011,Pousada Vovó Haidê
402,Bima,ID,82.94,few clouds,-8.4667,118.7167,Lambitu Hotel
406,Chapada Dos Guimaraes,BR,80.26,scattered clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
407,Kahului,US,89.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
411,Surt,LY,79.88,clear sky,31.2089,16.5887,فندق المدينة
413,Alexandria,EG,79.3,clear sky,31.2156,29.9553,Royal Crown Hotel
422,Saint Anthony,US,84.09,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
425,Accra,GH,75.61,scattered clouds,5.556,-0.1969,Accra City Hotel
426,Bahawalnagar,PK,83.75,clear sky,30.5508,73.3908,Malik Amir Munir Jhakhar
428,Rabaul,PG,82.69,few clouds,-4.1967,152.1721,Rabaul Hotel
429,Santa Ines,BR,77.94,few clouds,-3.6667,-45.38,Palace hotel
432,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
433,Beaverlodge,CA,85.35,broken clouds,55.2166,-119.4361,Side Trax Inn
436,High Rock,BS,82.42,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
438,Nizwa,OM,80.96,scattered clouds,22.9333,57.5333,Orient Apartments
439,San Policarpo,PH,82.54,overcast clouds,12.1791,125.5072,Agapita M. Nicart
444,Huntsville,US,84.45,scattered clouds,34.7304,-86.5861,Embassy Suites by Hilton Huntsville
445,Pacifica,US,82.49,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
446,Kavaratti,IN,79.77,broken clouds,10.5669,72.642,Green leaf
448,Rosarito,MX,93.24,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
450,Victoria,HK,86.25,few clouds,22.2855,114.1577,Mini Central
455,Montes Altos,BR,81.37,clear sky,-5.8333,-47.0667,Hotel e Restaurante Manaaim
457,La Asuncion,VE,80.33,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
460,Sheridan,US,89.98,clear sky,44.8333,-106.9173,Comfort Inn & Suites
464,Nanakuli,US,89.55,few clouds,21.3906,-158.1547,Camp Pālehua
465,Adeje,ES,75.11,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
469,Sault Sainte Marie,CA,75.76,clear sky,46.5168,-84.3333,Comfort Inn
470,Ariquemes,BR,84.47,scattered clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
472,Finschhafen,PG,83.97,few clouds,-6.6024,147.8681,Cossam Guest House
473,Carutapera,BR,78.22,clear sky,-1.195,-46.02,Lidera
474,Araguaina,BR,78.37,clear sky,-7.1911,-48.2072,Hotel São Vicente
477,Kumluca,TR,76.77,clear sky,36.3703,30.2869,Akkol Apart
478,Stephenville,US,81.39,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
480,Fort-Shevchenko,KZ,79.34,clear sky,44.5086,50.263,Oasis hotel Bautino
481,Boa Vista,BR,78.78,light rain,2.8197,-60.6733,Aipana Plaza Hotel
485,Alenquer,BR,80.73,overcast clouds,-1.9417,-54.7383,Detinha Hotel
489,Napoleon,US,78.94,overcast clouds,41.3923,-84.1252,Holiday Inn & Suites
493,Hambantota,LK,77.41,broken clouds,6.1241,81.1185,Bungalow 63
494,Ciudad Bolivar,VE,82.51,overcast clouds,8.1222,-63.5497,Hotel Edi
495,Half Moon Bay,US,91.54,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
498,Erzin,TR,78.04,few clouds,36.9559,36.2,Artemis Otel
503,Kuryk,KZ,82.11,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
507,Shahpura,IN,81.05,broken clouds,27.3833,75.9667,Shahpura Haveli
510,Portland,US,92.84,smoke,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
513,Katherine,AU,75.52,clear sky,-14.4667,132.2667,Pine Tree Motel
516,Nabire,ID,82.29,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
517,Namie,JP,77.72,broken clouds,37.4833,141.0,いこいの村なみえ
519,Dawson Creek,CA,85.64,clear sky,55.7666,-120.2362,Peace Villa Motel
523,Dezful,IR,92.88,clear sky,32.3811,48.4058,مهمانپذیر خوزستان
530,Black River,JM,79.79,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
534,Flagstaff,US,89.6,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
535,Dawei,MM,77.97,overcast clouds,14.0833,98.2,Hotel Dawei
536,Riyadh,SA,84.34,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
537,Madinat Sittah Uktubar,EG,78.4,clear sky,29.8167,31.05,Happy Kennel Academy
547,Senador Pompeu,BR,78.48,clear sky,-5.5881,-39.3717,Pousada Ki-Delicia
549,Rio Verde De Mato Grosso,BR,83.25,few clouds,-18.9181,-54.8442,Quedas Palace Hotel
550,Mapimi,MX,82.87,overcast clouds,25.8167,-103.85,Propiedad Lldm
552,Pindwara,IN,79.36,overcast clouds,24.8,73.0667,Bamanwadji Jain Dharamshala
553,Fredericksburg,US,81.41,broken clouds,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
554,Dalbandin,PK,83.28,clear sky,28.8947,64.4101,Sanjrani House
555,Tahoua,NE,83.97,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
556,Eureka,US,76.68,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
559,Buraydah,SA,81.05,clear sky,26.326,43.975,Mövenpick Qassim
562,Sujangarh,IN,85.1,broken clouds,27.7011,74.4649,Hotel BDS International
563,Puerto Carreno,CO,78.67,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
566,Kaspiyskiy,RU,79.56,overcast clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
567,Zhenhai,CN,84.88,broken clouds,24.2582,118.0905,In Zhijian Guesthouse
570,Narasannapeta,IN,79.66,scattered clouds,18.4167,84.05,AVK events and catering
571,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
